id,category,prefecture,area,name,animal_type,detail,hp_url,phone,status,notes
30,ブリーダー,東京都,台東区（上野）,上野犬舎,犬,パピヨン,http://www.papillondiary.jp/,,未送信,パピヨン専門ブリーダー
31,ブリーダー,東京都,エリア不明,メインクーンキャッテリー東京オノクーン,猫,メインクーン,https://ameblo.jp/onocoon3/,,未送信,交通至便で見学可能
32,ブリーダー,東京都,エリア不明,ピースフルリバー犬舎,犬,ビションフリーゼ,https://annie.tokyo/kennel.htm,,未送信,ビションフリーゼ専門
33,ブリーダー,東京都,多摩地域,多摩梁犬荘,犬,柴犬,https://e-shibainu.com/tamaryoukensou/,,未送信,柴犬専門犬舎
34,ブリーダー,東京都,エリア不明,東京わんわん,犬,豆柴・柴犬・秋田犬,http://shiba-inu.sakura.ne.jp/,,未送信,豆柴・柴犬・秋田犬を扱う
35,ブリーダー,東京都,エリア不明,FCぱぴぷぺっと東京店,犬,トイプードル・ティーカッププードル,https://papipupet-tokyo.com/,,未送信,ブリーダー直販・見学随時
36,ブリーダー,東京都,エリア不明,パスレルワン,犬,フレンチブルドッグ,https://passerellewan.jp/brd/breeder96/,,未送信,ショーブリーダー
37,ブリーダー,東京都,エリア不明,BONHEUR（ボヌール）,犬,フレンチブルドッグ,https://bonheur-fureburu.jp/,,未送信,アットホームな環境で繁殖
38,ブリーダー,東京都,エリア不明,根本佳和ブリーダー,猫,ペルシャ,https://www.koneko-breeder.com/breeder_a211907.html,,未送信,個人ブリーダー（猫）
39,ブリーダー,神奈川県,横浜市青葉区,さかいペット,犬,ヨークシャーテリア・トイプードル・ボストンテリア,https://sakaipet.com/,090-9015-4590,未送信,個人経営・少数飼育
40,ブリーダー,神奈川県,横須賀市,Rich Japan(リッチジャパン),犬,トイプードル・ティーカッププードル,http://richjapan.net/,090-1884-1706,未送信,プードル専門ブリーダー
41,ブリーダー,神奈川県,小田原市,ブリーダーデイジー(宮村佳子),犬,トイプードル,https://breeder-daisy.com/,080-1110-0165,未送信,トイプードル譲渡実績豊富
42,ブリーダー,神奈川県,川崎市川崎区,礒辺貴子ブリーダー,犬,ミックス犬,,,未送信,オンライン見学対応
43,ブリーダー,神奈川県,横浜市青葉区,ROYAL FAMILY KENNEL,犬,フレンチブルドッグ,https://royalfamily-kennel.com/,090-7268-9025,未送信,フレンチブルドッグ専門
44,ブリーダー,神奈川県,秦野市,関野貴樹ブリーダー,犬,柴犬,,,未送信,秦野市栃窪
45,ブリーダー,神奈川県,横浜市旭区,新井美枝子ブリーダー,犬,柴犬,,,未送信,旭区柏町
46,ブリーダー,神奈川県,秦野市,江畑遼ブリーダー,犬,柴犬,,,未送信,みんなのブリーダー掲載
47,ブリーダー,神奈川県,高座郡寒川町,吉沢彩香ブリーダー,犬,柴犬,,,未送信,みんなのブリーダー掲載
48,ブリーダー,神奈川県,相模原市緑区,梶ブリーダー,犬,チワワ・チワワミックス,,,未送信,2025年評判ランキング上位
49,ブリーダー,神奈川県,秦野市,愛犬ハウスセキノ,犬,各種小型犬,https://www.ahs.co.jp/prettydog/main/,,未送信,東名秦野中井IC近く・直販実績豊富
50,ブリーダー,神奈川県,秦野市,トイプードルブリーダー直送センター(IPBS),犬,トイプードル,https://www.ipbs-edu.net/,,未送信,トイプードル専門20年以上
51,ブリーダー,神奈川県,横須賀市,池田美保ブリーダー,犬,トイプードル,https://www.min-breeder.com/breeder_lovelight.html,,未送信,横須賀市根岸町
52,ブリーダー,神奈川県,横須賀市,SongCongChua,犬,キャバリア・ダックスフンド・トイプードル,https://songcongchua.jp/,,未送信,「ワンちゃんファースト」の育成方針
53,ブリーダー,神奈川県,藤沢市(湘南),神奈川甲斐犬舎,犬,甲斐犬,https://www.kanagawa-kaikensya.com/,0466-84-3334,未送信,甲斐犬専門犬舎
54,ブリーダー,神奈川県,藤沢市,大塚まり子ブリーダー,犬,マルプー,,,未送信,藤沢市遠藤
55,ブリーダー,神奈川県,座間市/海老名市,LiANGE(大森愛),犬,ダックスフンド中心の小型犬,https://liange.pw/,046-259-7527,未送信,座間市で自家繁殖・海老名市に店舗
56,ブリーダー,神奈川県,小田原市,平井(青木)優子ブリーダー,犬,スタンダードプードル,,,未送信,みんなのブリーダー掲載
57,ブリーダー,神奈川県,小田原市,米山三千代ブリーダー,犬,トイプードル・ボストンテリア・ヨークシャーテリア,,,未送信,みんなのブリーダー掲載
58,ブリーダー,神奈川県,横浜市磯子区,鑪利枝ブリーダー(REDINGREEN),犬,,https://www.min-breeder.com/breeder_REDINGREEN.html,,未送信,磯子区上中里町
59,ブリーダー,神奈川県,横浜市泉区,和泉犬舎,犬,柴犬,,,未送信,横浜市泉区
60,ブリーダー,神奈川県,神奈川県内,新澤龍一ブリーダー,犬,,https://www.min-breeder.com/breeder_y990394.html,,未送信,みんなのブリーダー掲載
61,ブリーダー,神奈川県,横須賀市,太田結歌ブリーダー,犬,,https://www.breeder-navi.jp/breeder/4188,,未送信,ブリーダーナビ掲載
62,ブリーダー,神奈川県,秦野市,関野孝紀ブリーダー,犬,,https://www.breeder-navi.jp/breeder/1937,,未送信,ブリーダーナビ掲載
63,ブリーダー,神奈川県,横浜市中区,大西美香ブリーダー,猫,ラグドール,https://www.koneko-breeder.com/breeder_t035527.html,,未送信,横浜市中区北方町・登録番号30-0280
64,ブリーダー,神奈川県,横浜市保土ケ谷区,角田敏彦ブリーダー,猫,スコティッシュフォールド・ブリティッシュショートヘア,,,未送信,保土ケ谷区西谷
65,ブリーダー,神奈川県,大和市,子猫ブリーダーのお店すこ,猫,スコティッシュフォールド,https://sukoneko.jp/,,未送信,大和市深見・県内では数少ないスコ専門店
66,ブリーダー,神奈川県,神奈川県内,こねこのan,猫,マンチカン・ミヌエット,https://www.konekonoan.com/,,未送信,
67,ブリーダー,神奈川県,神奈川県内,D&C(朝倉しのぶ),猫,マンチカン他複数種,https://www.koneko-breeder.com/breeder_D.C..html,,未送信,清潔な環境で健康管理を徹底
68,ブリーダー,神奈川県,横浜市瀬谷区,杉山壽ブリーダー,猫,マンチカン,,,未送信,瀬谷区三ツ境
69,ブリーダー,神奈川県,横浜市,澤村大介ブリーダー,猫,,https://www.koneko-breeder.com/breeder_h874005.html,,未送信,みんなの子猫ブリーダー掲載
70,ブリーダー,神奈川県,横浜市瀬谷区,朝比奈杏奈ブリーダー,猫,アメリカンショートヘア,,,未送信,瀬谷区三ツ境
71,ブリーダー,神奈川県,横浜市金沢区,梶ブリーダー(金沢区),猫,,,,未送信,金沢区泥亀・2024年11月オープン
72,ブリーダー,神奈川県,平塚市,内藤はるえブリーダー,猫,アメリカンショートヘア,https://www.koneko-breeder.com/breeder_apricot.html,,未送信,平塚市豊田本郷・アメショ専門
73,ブリーダー,神奈川県,横浜市栄区,小池好美ブリーダー,猫,ブリティッシュショートヘア,,,未送信,栄区公田町
74,ブリーダー,神奈川県,神奈川県内,今村希世ブリーダー,猫,,https://www.koneko-breeder.com/breeder_w298293.html,,未送信,みんなの子猫ブリーダー掲載
75,ペットショップ,東京都,豊島区,PETSHOP MERRILY,犬,チワワ専門,https://merrily.love/,03-3987-7297,未送信,トリミング・ホテル併設。池袋徒歩3分
76,ペットショップ,東京都,豊島区,ドッグシエスタ,犬猫,,https://www.petstation.jp/shop/1932,03-5960-0841,未送信,池袋駅西口徒歩3分・年中無休
77,ペットショップ,東京都,江東区,犬kura猫kura,犬猫,,https://inukura-nekokura.jp/,03-5875-5580,未送信,トリミング・ホテル併設。錦糸町駅徒歩6分
78,ペットショップ,東京都,江東区,パピードリーム,犬,子犬専門,https://www.puppydream.jp/,03-3820-0123,未送信,開業10年以上。門前仲町駅徒歩2分
79,ペットショップ,東京都,江戸川区,PUPPY CLUB,犬,柴犬専門,https://puppy-club.tokyo/,03-5664-0891,未送信,柴犬専門の子犬販売店
80,ペットショップ,東京都,中野区,ぱぴぷぺっと東京店,犬,トイプードル中心,https://papipupet-tokyo.com/,03-6276-0902,未送信,ブリーダー直販店
81,ペットショップ,東京都,世田谷区,ペットカンパニーパイン代田店,犬猫,,https://pet-pine.com/,03-5486-2017,未送信,トリミング・ホテル併設
82,ペットショップ,東京都,練馬区,グランドケンネル豊玉店,犬猫,,https://www.petstation.jp/shop/4705,03-3992-4111,未送信,
83,ペットショップ,東京都,町田市,かねだい本町田店,犬猫,,https://www.kanedai-honmachida.com/,042-710-4230,未送信,総合ペットショップ・大型店
84,ペットショップ,東京都,町田市,ぽちプラザ町田店,犬猫,,https://www.petstation.jp/shop/419,042-725-5848,未送信,
85,ペットショップ,東京都,大田区,ネーサ,犬猫,,,03-3748-1660,未送信,上池台
86,ペットショップ,東京都,大田区,ペット田島,犬猫,,,03-3739-1258,未送信,蒲田本町・地域密着型
87,ペットショップ,東京都,大田区,マルワン下丸子店,犬猫,小さめ子犬・美形子猫中心,https://maruone.com/shimomaruko/,03-6715-2750,未送信,オリンピック下丸子店1F
88,ペットショップ,東京都,足立区,かねだい足立店,犬猫,,https://www.petstation.jp/shop/wan100adachi,03-5831-5720,未送信,総合ペットショップ
89,ペットショップ,東京都,新宿区,犬の家&猫の里 新宿店,犬猫,,https://dognoie.com/,03-6273-1481,未送信,富久クロス1F
90,ペットショップ,東京都,渋谷区,ペッツファースト渋谷店,犬猫,,https://www.pfirst.jp/,03-5784-4222,未送信,渋谷駅徒歩5分
91,ペットショップ,東京都,八王子市,ワンラブ カインズ八王子長房店,犬猫,,https://www.pet-onelove.com/,042-673-2777,未送信,常時子犬・子猫30頭以上展示
92,ペットショップ,東京都,板橋区,ビバペッツ板橋前野店,犬猫,,https://www.petstation.jp/shop/3161,03-5914-6090,未送信,ビバホーム内
93,ペットショップ,東京都,板橋区,ペットの専門店コジマ板橋店,犬猫,,https://pets-kojima.com/shop/0003/,03-3974-1141,未送信,チェーン店
94,ペットショップ,東京都,板橋区,ペットプラス板橋店,犬猫,,https://www.ahb.jpn.com/shops/01273,03-5922-3420,未送信,イオン板橋SC内
95,ペットショップ,東京都,板橋区,ふれあい喫茶マリン,犬,トイプードル・ラグドール自家繁殖,https://www.nko-service.co.jp/,03-6915-7357,未送信,触れ合いカフェ併設
96,ペットショップ,東京都,中野区,ペッツファースト中野店,犬猫,,https://www.pfirst.jp/,03-5942-9230,未送信,チェーン店
97,ペットショップ,東京都,中野区,Coo&RIKU中野サンモール店,犬猫,,https://www.pet-coo.com/,03-5942-4301,未送信,チェーン店
98,ペットショップ,神奈川県,横浜市旭区,アサヒペット二俣川本店,犬猫,子犬・子猫専門,http://asahipet.com/,045-362-6100,未送信,創業40年超
99,ペットショップ,神奈川県,横浜市瀬谷区,ペットショップエンゼル横浜本店,犬猫,,https://angel-dog.co.jp/shop_yokohama.html,045-349-1012,未送信,
100,ペットショップ,神奈川県,横浜市中区,マルワン横浜元町店,犬猫,小型犬・美形猫中心,https://maruone.com/motomachi/,045-319-6445,未送信,40頭以上取扱
101,ペットショップ,神奈川県,横浜市中区,かねだい横浜店,犬猫,,https://www.petstation.jp/shop/2044,045-250-5611,未送信,関内駅徒歩8分
102,ペットショップ,神奈川県,横浜市港北区,マルワン横浜（大豆戸町店）,犬猫,,https://maruone.com/,045-545-4008,未送信,Olympic新館内
103,ペットショップ,神奈川県,相模原市南区,ペットショップエンゼル相模原店,犬猫,,https://angel-dog.co.jp/shop_sagami.html,042-767-4410,未送信,
104,ペットショップ,神奈川県,相模原市中央区,犬の家&猫の里 相模原店,犬猫,,https://dognoie.com/,042-779-4877,未送信,
105,ペットショップ,神奈川県,相模原市緑区,ペットフォレスト相模原下九沢店,犬猫,,https://petforest.co.jp/store/031.html,042-703-1780,未送信,
106,ペットショップ,神奈川県,平塚市,ペットプラス湘南平塚店,犬猫,,https://www.ahb.jpn.com/shops/01253,0463-25-1171,未送信,チェーン店
107,ペットショップ,神奈川県,平塚市,きくちペット湘南平塚店,犬猫,子犬・子猫専門,https://k-pet.co.jp/,0463-55-2922,未送信,
108,ペットショップ,神奈川県,川崎市川崎区,ペッツファースト川崎店,犬猫,,https://www.pfirst.jp/,044-222-1577,未送信,チェーン店
109,ペットショップ,神奈川県,川崎市中原区,犬の家&猫の里 元住吉ブレーメン通り店,犬猫,,https://dognoie.com/,044-982-1525,未送信,元住吉駅徒歩4分
