id,prefecture,area_major,area_detail,salon_name,hp_url,instagram_url,salon_type,ig_status,status,notes
33,神奈川県,海老名市,東柏ケ谷方面,Trimming & Care Mane.,https://www.dog-mane.com/,,individual,未確認,未送信,スウェーデン式マッサージも実施
34,神奈川県,秦野市,市内,ペットショップりあん,https://petlien.com/,,standard,未確認,未送信,JKC公認トリマー在籍・犬猫両対応
35,神奈川県,伊勢原市,板戸,Dog salon Diary,https://epark.jp/shopinfo/pts585404/,,individual,未確認,未送信,木の温もりある雰囲気
36,神奈川県,横浜市保土ヶ谷区,和田町,とりみんぐさろん 犬の床屋,https://www.inunotokoya1058.com/,,individual,未確認,未送信,店主がトリミングスクール講師も務める
37,神奈川県,横浜市旭区,二俣川,ペットサロンHANA,https://pettosaronhana.net/,,individual,未確認,未送信,宿泊・一時預かりにも対応
38,神奈川県,横浜市磯子区,上中里町(杉田),トリミングサロン Confetto,https://cattery-confetto.com/,,premium,未確認,未送信,2024年10月開業・犬猫でトリミング室を分離
39,神奈川県,横浜市金沢区,西柴,Tiara Trimming salon,https://tiara-trim.com/,,individual,未確認,未送信,金沢区で15年続く小さなサロン
40,神奈川県,横浜市泉区,中田,Dogking 中田店,http://dogking.cc,,standard,未確認,未送信,横浜市内3店舗展開のローカルチェーン
41,神奈川県,横浜市栄区,笠間(大船),トリミングサロン ブルーム,https://camec-of.jp/ts-blume/,,standard,未確認,未送信,動物病院併設
42,神奈川県,横浜市瀬谷区,市内,HAPPY mo.mo,https://dog-happymomo.jimdofree.com/,,individual,未確認,未送信,経験豊富なトリマーによるコース展開
43,神奈川県,川崎市川崎区,中島(貝塚エリア),Dogsalon&Hotel mili mili,https://www.milimili.org/,,standard,未確認,未送信,ペットホテル併設・アロマスパ提供
44,神奈川県,川崎市高津区,末長,クミコペットサロン,http://www.kumikopetsalon.jp/,,individual,未確認,未送信,「ペットが行きたがるサロン」がコンセプト
45,神奈川県,川崎市宮前区,市内,Grace Plus,https://graceplus.tokyo/,,premium,未確認,未送信,1日1〜2家族限定のプライベートサロン
46,神奈川県,川崎市麻生区,市内,ドッグビューティーサロンユリ,https://www.dogbeautysalon-yuri.com/,,individual,未確認,未送信,犬猫対応・定休日は火・水
